web-scraper-order,web-scraper-start-url,cities,cities-href,price,ville,prix
1683113309-188,https://www.efficity.com/prix-immobilier-m2/,Dunkerque (59),https://www.efficity.com/prix-immobilier-m2/v_dunkerque_59/,2 140 €,Dunkerque,2140.0
1683113311-189,https://www.efficity.com/prix-immobilier-m2/,Dijon (21),https://www.efficity.com/prix-immobilier-m2/v_dijon_21000/,2 670 €,Dijon,2670.0
1683113314-190,https://www.efficity.com/prix-immobilier-m2/,Clermont-Ferrand (63),https://www.efficity.com/prix-immobilier-m2/v_clermont-ferrand_63/,2 260 €,Clermont-Ferrand,2260.0
1683113316-191,https://www.efficity.com/prix-immobilier-m2/,Châteauroux (36),https://www.efficity.com/prix-immobilier-m2/v_chateauroux_36000/,1 090 €,Châteauroux,1090.0
1683113318-192,https://www.efficity.com/prix-immobilier-m2/,Cholet (49),https://www.efficity.com/prix-immobilier-m2/v_cholet_49300/,2 110 €,Cholet,2110.0
1683113320-193,https://www.efficity.com/prix-immobilier-m2/,Cherbourg-en-Cotentin (50),https://www.efficity.com/prix-immobilier-m2/v_cherbourg-en-cotentin_50/,2 130 €,Cherbourg-en-Cotentin,2130.0
1683113322-194,https://www.efficity.com/prix-immobilier-m2/,Chalon-sur-Saône (71),https://www.efficity.com/prix-immobilier-m2/v_chalon-sur-saone_71100/,1 340 €,Chalon-sur-Saône,1340.0
1683113324-195,https://www.efficity.com/prix-immobilier-m2/,Caen (14),https://www.efficity.com/prix-immobilier-m2/v_caen_14000/,2 840 €,Caen,2840.0
1683113326-196,https://www.efficity.com/prix-immobilier-m2/,Béziers (34),https://www.efficity.com/prix-immobilier-m2/v_beziers_34500/,1 600 €,Béziers,1600.0
1683113328-197,https://www.efficity.com/prix-immobilier-m2/,Brest (29),https://www.efficity.com/prix-immobilier-m2/v_brest_29200/,2 150 €,Brest,2150.0
1683113330-198,https://www.efficity.com/prix-immobilier-m2/,Bourges (18),https://www.efficity.com/prix-immobilier-m2/v_bourges_18000/,1 530 €,Bourges,1530.0
1683113333-199,https://www.efficity.com/prix-immobilier-m2/,Borgo (2B),https://www.efficity.com/prix-immobilier-m2/v_borgo_20290/,2 840 €,Borgo,2840.0
1683113335-200,https://www.efficity.com/prix-immobilier-m2/,Bordeaux (33),https://www.efficity.com/prix-immobilier-m2/v_bordeaux_33/,4 720 €,Bordeaux,4720.0
