Distance(m),Groupe 1,,,,,,Groupe 2,,,,,,Groupe 3,,,,,,Groupe 4,,,,,,Groupe 5,,,,,,Groupe 6,,,,,,Groupe 7,,,,,
,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6,Lancer 1,Lancer 2,Lancer 3,Lancer 4,Lancer 5,Lancer 6
1,-25,18,12,-11,1.5,12,-53,43,-50,0.5,55,-15,21,22,62,6.5,-13,-30,-27,31,-7,7,6,5,17,45,8,10,-6,-23,-44,54,-16,46,18,27,-10,-12.5,-19.5,24,-9,39
2,-3,7,42,-5,-12,-62,-28,11,-13,0,24,-1,11,5,-6,31,-24,-2,-49,50,-2,-58,-17,53,4,-15,10,45,-21,-60,-2,-13,19,-24,10,-6,-24.2,11,-3,-22,-0.5,7.5
4,-25.5,12,36.5,-36,-52,24.5,-7,-6,-22,-36,15,-75,150,49,-18,58,43.5,26.5,100,-95,21,76,43,51,37.5,-94,23,168,-26,-81,38,-62,-89,-48,170,-57,-10,-13,-17,-51.5,112,34
5,-78,-37,66,-84.5,-38,61.5,0,44,0,-21.5,42,-35,523.5,-77.5,-48,-56,4,626,17,91,49,66,59,121,-17,68,5,-7,47,-35,3,-37,-20,64,500,22,-73.5,-45,-97.5,90,-47.5,-117.5
6,-32.5,-270,-24.5,19.5,-24,-80.5,-44,-50,-24,73,70,-32,136.5,-95.5,-57.5,-102,-130,-32,-80,-35,14,133,-77,304,125,-87,-180,210,0,60,300,60,32,57,235,-39,-88,-194.5,-16.5,-130,-85.5,53
