,Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population_x, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Continent,Least Developed,Life Expectancy,Population_y,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,Military expenditure,People practicing open defecation,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita
10,Albania,2005,Developing,73.5,15.0,1,5.16,26.99312143,98.0,6,49.9,1,97.0,6.12,98.0,0.1,279.142931,311487.0,1.8,1.8,0.685,10.8,Europe,False,75.228,3011487,1.338209399,6.33554173,1797.525487,28.30967153,5865.301904,6.043890864,1.350004971,0.623198199,89.02118831,15.6,1.6518
11,Albania,2004,Developing,73.0,17.0,1,4.54,221.8428,99.0,7,48.9,1,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,1.9,0.681,10.9,Europe,False,75.039,3026939,1.404058688,6.77337217,1469.264539,28.26306569,5427.732662,2.420387798,1.381157942,0.675280758,88.51058296,15.0,1.37617
12,Albania,2003,Developing,72.8,18.0,1,4.29,14.71928882,97.0,8,47.9,1,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7,Europe,False,74.828,3039616,1.338984981,7.06348991,1578.165919,28.21645985,5000.049363,0.971900415,1.336842924,0.728191005,87.98719397,14.4,1.4483
13,Albania,2002,Developing,73.3,15.0,1,3.73,104.5169157,96.0,16,46.9,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7,Europe,False,74.579,3051010,1.232378783,6.90934134,1351.230796,28.16985401,4661.402695,0.390081273,1.320034494,0.781898762,87.45163517,13.9,1.28697
14,Albania,2001,Developing,73.6,14.0,1,4.25,96.20557078,96.0,18,46.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6,Europe,False,74.288,3060173,1.055495882,7.13952398,1449.647413,28.12324818,4299.546493,0.325798377,1.309291375,0.836397052,86.90407032,13.3,1.48995
15,Albania,2000,Developing,72.6,11.0,1,3.66,91.71154052,96.0,662,45.0,1,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1,2.2,0.656,10.7,Europe,False,73.955,3089027,1.026213109,7.2333703,1414.703784,28.07664234,3860.804627,0.114097347,1.246360242,0.888852778,86.75447063,12.8,1.33431
16,Algeria,2015,Developing,75.6,19.0,21,,0.0,95.0,63,59.5,24,95.0,,95.0,0.1,4132.76292,39871528.0,6.0,5.8,0.743,14.4,Africa,False,76.09,39728020,3.933495912,6.9784894,1362.871884,0.821247986,12015.64053,38.2,6.270242856,1.155577807,93.40956153,25.7,0.31
17,Algeria,2014,Developing,75.4,11.0,21,0.01,54.2373183,95.0,0,58.4,24,95.0,7.21,95.0,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4,Africa,False,75.878,38923688,3.795632251,6.54721403,1278.915242,0.818057387,13003.26686,29.5,5.548483336,1.419856885,93.19235149,24.8,0.28
18,Algeria,2013,Developing,75.3,112.0,21,0.53,544.4507432,95.0,25,57.2,24,95.0,7.12,95.0,0.1,5471.866766,38338562.0,5.9,5.8,0.737,14.4,Africa,False,75.661,38140135,3.644979345,6.03576279,1237.966109,0.814866442,13056.80259,22.5,4.844508917,1.693614807,92.97088353,23.9,0.26
19,Algeria,2012,Developing,75.1,113.0,21,0.66,555.9260834,95.0,18,56.1,24,95.0,6.14,95.0,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4,Africa,False,75.436,37383899,3.609307651,6.00050974,1123.332915,0.811675498,13303.32752,18.2,4.46107862,1.977114639,92.74518845,23.1,0.23
20,Algeria,2011,Developing,74.9,116.0,21,0.56,509.0020405,95.0,112,55.0,24,95.0,5.29,95.0,0.1,5432.2523,36819558.0,5.9,5.8,0.724,14.0,Africa,False,75.199,36661438,3.294742583,5.26748085,1016.636782,0.808484553,13500.04479,14.9,4.325706359,2.270808327,92.51499419,22.2,0.21
21,Algeria,2010,Developing,74.7,119.0,21,0.45,430.7175861,95.0,103,53.9,24,95.0,5.12,95.0,0.1,4463.394675,36117637.0,5.9,5.8,0.714,13.6,Africa,False,74.938,35977451,3.173654529,5.11717176,866.3073024,0.805293609,13096.88473,12.5,3.518012609,2.574999351,92.29597417,21.4,0.18
22,Algeria,2009,Developing,74.4,123.0,20,0.5,352.0636419,94.0,107,52.8,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1,Africa,False,74.644,35333882,3.174573294,5.3593955,947.2913284,0.791060317,12719.17915,11.23,3.848513698,2.890114176,92.07203717,20.7,0.19895
23,Algeria,2008,Developing,74.1,126.0,20,0.46,43.08717334,91.0,217,51.8,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,5.9,0.697,12.6,Africa,False,74.311,34730604,3.102451083,4.20188379,894.2845864,0.776827026,12655.21847,10.18,3.024747141,3.216277793,91.84330409,19.9,0.20481
24,Algeria,2007,Developing,73.8,129.0,20,0.44,320.3239241,9.0,0,5.8,23,95.0,3.82,95.0,0.1,3935.183343,34376.0,6.0,5.9,0.69,12.3,Africa,False,73.936,34166976,3.007289846,3.8214159,862.4295937,0.762593734,12326.07701,9.451190626,2.923321027,3.554243607,91.60922889,19.2,0.16596
25,Algeria,2006,Developing,73.4,132.0,20,0.36,270.2401962,8.0,944,49.8,23,95.0,3.36,95.0,0.1,3464.6179,33777915.0,6.1,6.0,0.686,12.3,Africa,False,73.521,33641007,2.966914681,3.35510182,890.6259238,0.748360442,11788.56019,7.375984956,2.643807548,3.903086061,91.37095552,18.6,0.17637
26,Algeria,2005,Developing,72.9,136.0,19,0.5,2.548922758,83.0,2302,48.9,22,88.0,3.24,88.0,0.1,31.122378,33288437.0,6.1,6.0,0.68,12.0,Africa,False,73.072,33149720,2.841351373,3.2351613,804.1073343,0.734127151,11411.19178,5.843942092,2.83417835,4.263133992,91.12824941,17.9,0.29652
27,Algeria,2004,Developing,72.3,14.0,19,0.45,220.393699,81.0,3289,47.9,23,86.0,3.54,86.0,0.1,2598.9823,3283196.0,6.2,6.1,0.673,11.7,Africa,False,72.594,32692153,2.737354064,3.5440731,786.4144235,0.719893859,10594.04572,4.634475088,3.283884523,4.634333998,90.88125597,17.3,0.23826
28,Algeria,2003,Developing,71.7,146.0,20,0.34,25.0185226,,15374,47.0,23,87.0,3.6,87.0,0.1,294.33556,3243514.0,6.3,6.1,0.663,11.5,Africa,False,72.101,32264159,2.733373662,3.60104108,730.808966,0.705660567,10022.96478,2.195359731,3.251210893,5.017041887,90.62972314,16.7,0.19139
29,Algeria,2002,Developing,71.6,145.0,20,0.36,148.5119843,,5862,46.1,23,86.0,3.73,86.0,0.1,1774.33673,3199546.0,6.3,6.2,0.653,11.1,Africa,False,71.605,31855110,2.586712195,3.7300415,709.0914831,0.691427276,9286.56088,1.59164126,3.700829359,5.411176259,90.37379792,16.1,0.17177
30,Algeria,2001,Developing,71.4,145.0,20,0.23,147.9860714,,2686,45.3,24,89.0,3.84,89.0,0.1,1732.857979,31592153.0,6.4,6.3,0.644,10.9,Africa,False,71.116,31451513,2.50067461,3.83787704,683.2948063,0.677193984,8770.253502,0.646114017,3.820695463,5.816862792,90.11344378,15.5,0.10026
31,Algeria,2000,Developing,71.3,145.0,21,0.25,154.4559436,,0,44.4,25,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7,Africa,False,70.64,31042238,2.578744484,3.48903275,652.8013246,0.662960693,8436.99096,0.491705679,3.433385635,6.233949004,89.84882827,15.0,0.11978
32,Angola,2015,Developing,52.4,335.0,66,,0.0,64.0,118,23.3,98,7.0,,64.0,1.9,3695.793748,2785935.0,8.3,8.2,0.531,11.4,Africa,True,59.398,27884380,1.13504405,2.60579491,312.2288945,55.65307612,7337.569901,22.0,3.105426293,22.53427135,54.31692835,6.5,3.25
33,Angola,2014,Developing,51.7,348.0,67,8.33,23.965612,64.0,11699,22.7,101,68.0,3.31,64.0,2.0,479.31224,2692466.0,8.5,8.3,0.527,11.4,Africa,True,58.776,26941773,1.099779111,2.43412852,280.2144821,56.09830111,8179.297828,21.4,4.698454516,23.84308961,53.5415069,6.2,4.5
34,Angola,2013,Developing,51.1,355.0,69,8.1,35.95857279,77.0,8523,22.1,105,67.0,4.26,77.0,2.3,484.616884,2599834.0,8.6,8.5,0.523,11.4,Africa,True,58.054,26015786,1.036293852,2.73282766,219.2534827,56.54352611,7682.475646,13.0,4.455239422,25.15396967,52.75734684,5.9,4.46
35,Angola,2012,Developing,56.0,358.0,72,8.24,256.1225243,75.0,4458,21.5,110,75.0,3.3,75.0,2.6,4598.249988,259615.0,8.8,8.6,0.508,10.3,Africa,True,57.236,25107925,0.950695879,2.39574957,207.0133514,56.9887511,7412.967137,7.7,3.236659499,26.46206917,51.9685411,5.6,4.59
36,Angola,2011,Developing,51.0,361.0,75,8.06,239.8913921,72.0,1449,21.0,115,73.0,3.38,71.0,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4,Africa,True,56.33,24220660,0.985522312,2.64560795,206.4544017,57.4339761,6710.750725,4.7,3.255660351,27.76785432,51.17483374,5.3,4.43
37,Angola,2010,Developing,49.6,365.0,78,7.8,191.6537407,77.0,1190,2.4,121,81.0,3.39,77.0,2.5,3529.53482,23369131.0,9.1,9.0,0.488,9.0,Africa,True,55.35,23356247,0.976184198,2.69510007,189.2577043,57.87920109,6588.835076,2.8,4.177584566,29.0707389,50.37684093,5.1,4.23
38,Angola,2009,Developing,49.1,369.0,81,7.01,212.9229325,61.0,2807,19.8,127,63.0,4.37,6.0,2.5,3347.84485,22549547.0,9.3,9.2,0.48,8.5,Africa,True,54.311,22514275,0.939403983,3.84260869,172.3848981,58.32442528,6441.035242,2.3,4.709610048,30.37016137,49.57516542,4.8,3.95114
39,Angola,2008,Developing,48.7,371.0,84,7.07,249.9101958,69.0,265,19.3,133,65.0,3.84,69.0,2.6,3868.578883,2175942.0,9.5,9.4,0.468,8.1,Africa,True,53.243,21695636,0.888658009,3.32290483,133.2672578,58.76964947,6584.875135,1.9,3.573120364,31.66557533,48.77040378,4.6,3.26552
40,Angola,2007,Developing,48.2,375.0,87,6.35,184.8213446,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,9.6,0.454,7.7,Africa,True,52.177,20905360,0.811753508,2.97438812,144.7153225,59.21487367,6031.482423,1.7,3.114054493,32.95844872,47.96147053,4.3,2.90574
41,Angola,2006,Developing,47.7,381.0,90,5.84,25.08688824,,765,18.2,143,36.0,4.54,34.0,2.5,262.415149,2262399.0,9.8,9.7,0.439,7.2,Africa,True,51.143,20149905,0.821840076,2.68553662,109.2952187,59.66009786,5344.22385,1.5,3.761495305,34.24672633,47.15022864,4.1,2.7311
42,Angola,2005,Developing,47.4,382.0,92,5.04,98.19145117,,258,17.7,148,39.0,4.1,38.0,2.6,1443.991929,19552542.0,1.0,9.9,0.426,6.8,Africa,True,50.165,19433604,0.813539291,2.85219693,87.53534066,60.10532205,4818.776561,1.143366827,3.692240947,35.53136957,46.33601912,3.9,2.39736
